,NAO,Nino34,AO
408,1.66,25.88,0.90504
409,0.72,26.56,-0.30272
410,-0.37,26.77,-2.386
411,-0.28,27.14,-0.28359
412,0.54,27.2,0.47918
413,-0.42,26.83,0.0072895
414,-0.07,26.79,0.018871000000000002
415,1.15,26.61,0.46568999999999994
416,0.17,26.38,-0.41276
417,-0.07,26.04,-0.27026
418,-0.06,25.52,-0.9658700000000001
419,0.0,25.25,0.446
420,-1.61,25.38,-2.8057
421,-0.49,26.03,-1.4398
422,0.2,26.5,0.5514399999999999
423,0.32,26.64,0.65242
424,-0.49,26.9,-0.43221000000000004
425,-0.8,26.81,-0.34656
426,1.22,26.56,-0.38958000000000004
427,-0.48,26.3,-0.0014289
428,-0.52,26.02,0.11441
429,0.9,26.23,1.0351
430,-0.67,26.33,-1.2175
431,0.22,26.19,-1.9476
432,1.11,25.89,-0.5676399999999999
433,-1.0,26.05,-2.9041
434,1.71,26.87,1.9308
435,-0.59,27.49,0.10299000000000001
436,0.85,27.4,0.36687
437,1.22,27.42,0.53457
438,0.12,27.18,-0.0082585
439,-1.09,27.17,-0.82629
440,-1.12,27.24,-0.023385
441,1.55,27.53,1.4246
442,2.29,27.71,0.9257200000000001
443,0.99,27.72,0.059767999999999995
444,-1.15,27.68,-1.1476
445,-0.73,27.88,-1.4732
446,0.14,28.27,-1.7465
447,2.0,28.39,0.38697
448,0.98,28.56,0.32524000000000003
449,-1.82,28.65,-0.71027
450,0.52,28.59,-0.46626999999999996
451,-0.83,28.42,-0.8357
452,-1.22,28.36,0.28653
453,0.14,27.96,-0.080009
454,0.18,27.77,-0.53584
455,0.32,27.54,-0.53391
456,1.02,27.45,0.26466
457,0.76,27.03,-1.0662
458,-0.17,27.38,-0.19707
459,-1.17,27.38,-0.56071
460,0.63,26.68,-0.84614
461,0.88,25.99,0.060528
462,-0.35,25.56,-0.14337
463,0.04,25.66,0.25456999999999996
464,-0.99,25.72,1.0393
465,-1.08,24.82,0.032359
466,-0.34,24.65,-0.034655
467,0.61,24.63,1.6788
468,1.17,24.58,3.106
469,2.0,25.28,3.2793
470,1.85,26.08,1.5303
471,0.28,26.74,-0.25024
472,1.38,27.06,0.8888299999999999
473,-0.27,27.14,0.34498
474,0.97,26.72,0.86555
475,0.01,26.33,0.5509
476,2.05,26.42,0.70313
477,-0.03,26.32,0.99069
478,0.16,26.25,0.033782
479,-1.15,26.46,-0.64365
480,1.04,26.56,1.0007
481,1.41,26.96,3.4016
482,1.46,27.33,2.99
483,2.0,27.9,1.8788
484,-1.53,28.02,0.9428200000000001
485,-0.02,27.64,0.3043
486,0.53,27.38,-0.29581
487,0.97,27.07,-0.18024
488,1.06,26.94,-0.2104
489,0.23,26.93,0.6603399999999999
490,-0.24,26.81,0.52064
491,0.22,26.95,1.2767
492,0.86,27.03,0.72323
493,1.04,27.07,-0.8759899999999999
494,-0.2,27.32,-0.5268
495,0.29,28.01,0.5302100000000001
496,0.08,28.2,0.48649
497,-0.82,28.25,-0.11535999999999999
498,-0.49,28.05,-0.18797
499,1.23,27.53,0.79688
500,0.48,27.14,-0.11220999999999999
501,-0.19,27.58,-0.25195
502,0.48,27.9,0.28465
503,0.46,28.29,1.6132
504,-0.13,28.38,0.55003
505,1.07,28.53,1.1217
506,0.87,28.66,0.9842299999999999
507,1.86,29.02,-0.52053
508,2.63,28.98,1.3414
509,0.2,28.3,-0.30196
510,0.16,27.51,0.19113
511,0.85,26.91,0.5353399999999999
512,-0.44,26.65,-0.6403
513,-1.76,26.42,-0.36589
514,1.19,26.42,0.71699
515,0.47,26.44,1.6267
516,1.6,26.69,3.4953
517,0.5,27.16,0.1845
518,0.67,27.67,0.76435
519,0.97,28.41,-0.43545
520,-0.78,28.71,-1.6075
521,-0.59,28.08,-0.51951
522,-3.18,27.52,-0.5107
523,0.12,26.99,-0.39299
524,-0.57,27.07,-0.36063
525,-0.71,26.77,-0.56501
526,2.56,26.71,1.0018
527,1.56,26.76,-0.10412
528,1.04,26.64,-0.28785
529,0.46,26.81,-0.86154
530,1.26,27.39,1.881
531,1.14,28.08,0.22474
532,-0.57,28.24,-0.11545
533,1.52,28.04,1.6063
534,1.31,27.54,0.35074
535,0.38,27.38,0.8275299999999999
536,-1.32,27.2,-0.08405499999999999
537,-0.97,27.47,0.17403
538,0.64,27.81,1.7794
539,2.02,27.85,0.8938299999999999
540,0.93,27.57,-0.15377000000000002
541,1.14,27.49,1.4289
542,1.25,27.75,0.39323
543,-0.85,28.1,-0.9631299999999999
544,-1.49,27.82,-0.8912
545,0.13,27.59,-0.11182
546,-0.22,27.08,-0.21708000000000002
547,0.69,26.23,0.54359
548,0.31,25.88,-0.54903
549,0.19,25.84,0.075041
550,-1.38,25.6,-0.72327
551,-1.67,25.65,-2.1271
552,-0.12,25.69,-1.2004
553,-0.07,25.89,0.16321
554,-0.24,26.67,-1.4832
555,-0.17,27.35,-1.5251
556,-1.06,27.55,-0.22641999999999998
557,0.56,27.29,0.49673
558,0.67,26.85,0.7145699999999999
559,1.02,26.64,0.12470999999999999
560,-0.86,26.27,-1.14
561,-0.33,26.27,0.18253
562,-0.56,26.29,0.13637
563,-1.41,25.95,-1.7208
564,-0.49,26.01,-0.45677
565,1.7,26.38,1.8887
566,1.46,27.04,1.0908
567,-1.02,27.98,0.32363000000000003
568,-0.28,28.58,-0.9611299999999999
569,-1.47,28.82,-0.81499
570,0.34,28.86,-0.43061000000000005
571,0.83,28.75,0.12062
572,0.61,28.85,0.19451
573,-1.7,29.08,-0.69971
574,-0.9,29.12,-0.66113
575,-0.96,28.89,-0.071116
576,0.39,28.93,-2.0806
577,-0.11,28.78,-0.18317999999999998
578,0.87,28.62,-0.25442
579,-0.68,28.6,-0.037912
580,-1.32,28.51,0.42863999999999997
581,-2.72,27.34,-0.71073
582,-0.48,26.3,-0.21166999999999997
583,-0.02,25.57,0.65033
584,-2.0,25.46,-1.0499
585,-0.29,25.25,0.29433000000000004
586,-0.28,25.24,-1.4494
587,0.87,24.91,1.3534
588,0.77,24.86,0.11035
589,0.29,25.43,0.48213
590,0.23,26.33,-1.4916
591,-0.95,26.7,0.28445
592,0.92,26.79,0.22587
593,1.12,26.53,0.70703
594,-0.9,26.13,-0.0020418
595,0.39,25.63,-0.67215
596,0.36,25.63,0.059078
597,0.2,25.48,-0.005802300000000001
598,0.65,25.12,0.6109399999999999
599,1.61,24.86,1.0431
600,0.6,24.78,1.2702
601,1.7,25.21,1.0758
602,0.77,26.3,-0.45136000000000004
603,-0.03,26.95,-0.27852
604,1.58,27.07,0.96909
605,-0.03,26.94,0.5861
606,-1.03,26.63,-0.6494300000000001
607,-0.29,26.37,0.14389000000000002
608,-0.21,26.2,0.39486
609,0.92,26.02,0.31678
610,-0.92,25.92,-1.5815
611,-0.58,25.68,-2.3544
612,0.25,25.81,-0.95883
613,0.45,26.12,-0.62241
614,-1.26,26.8,-1.6865
615,0.0,27.33,0.9059799999999999
616,-0.02,27.6,0.45196000000000003
617,-0.2,27.54,-0.015338
618,-0.25,27.25,-0.030987999999999998
619,-0.07,26.8,0.5205
620,-0.65,26.52,-0.7066
621,-0.24,26.57,0.7074699999999999
622,0.63,26.33,0.81865
623,-0.83,26.19,-1.3224
624,0.44,26.39,1.3813
625,1.1,26.71,1.3035
626,0.69,27.29,0.902
627,1.18,27.84,0.74841
628,-0.22,28.24,0.40136
629,0.38,28.44,0.5727399999999999
630,0.62,28.03,0.32764
631,0.38,27.72,-0.22853
632,-0.7,27.81,-0.042744
633,-2.28,27.96,-1.4885
634,-0.18,28.17,-1.4251
635,-0.94,27.97,-1.5921
636,0.16,27.15,-0.47167
637,0.62,27.39,0.1278
638,0.32,27.65,0.9329700000000001
639,-0.18,27.68,-0.17811
640,0.01,27.32,1.0167
641,-0.07,27.44,-0.10212
642,0.13,27.5,0.075316
643,-0.07,27.11,-0.28037
644,0.01,26.99,0.46658
645,-1.26,27.14,-0.66981
646,0.86,27.04,0.64242
647,0.64,27.03,0.26521
648,-0.29,26.81,-1.6858
649,-0.14,26.98,-1.5285
650,1.02,27.4,0.31806
651,1.15,27.89,-0.40938
652,0.19,28.0,-0.094252
653,-0.89,27.86,-0.23586999999999997
654,1.13,27.78,-0.20054
655,-0.48,27.62,-0.72019
656,0.38,27.53,0.85501
657,-1.1,27.44,-0.51542
658,0.73,27.36,0.6782699999999999
659,1.21,27.34,1.2301
660,1.52,27.21,0.35617
661,-0.06,27.11,-1.2706
662,-1.83,27.73,-1.3479
663,-0.3,28.08,-0.046214
664,-1.25,28.24,-0.76336
665,-0.05,27.77,-0.38324
666,-0.51,27.06,-0.030247000000000003
667,0.37,26.8,0.026141
668,0.63,26.68,0.8023899999999999
669,-0.98,26.65,0.029768
670,-0.31,26.11,0.22769
671,-0.44,25.68,-2.1039
672,1.2651,25.63,-0.17047
673,-0.51059,26.08,-0.15577
674,-1.2779,26.57,-1.6038
675,1.2353,27.5,0.13833
676,-1.1444,27.85,0.15581
677,0.8412299999999999,27.73,1.0708
