NAO,Nino34,AO
1.66,25.88,0.90504
0.72,26.56,-0.30272
-0.37,26.77,-2.386
-0.28,27.14,-0.28359
0.54,27.2,0.47918
-0.42,26.83,0.0072895
-0.07,26.79,0.018871000000000002
1.15,26.61,0.46568999999999994
0.17,26.38,-0.41276
-0.07,26.04,-0.27026
-0.06,25.52,-0.9658700000000001
0.0,25.25,0.446
-1.61,25.38,-2.8057
-0.49,26.03,-1.4398
0.2,26.5,0.5514399999999999
0.32,26.64,0.65242
-0.49,26.9,-0.43221000000000004
-0.8,26.81,-0.34656
1.22,26.56,-0.38958000000000004
-0.48,26.3,-0.0014289
-0.52,26.02,0.11441
0.9,26.23,1.0351
-0.67,26.33,-1.2175
0.22,26.19,-1.9476
1.11,25.89,-0.5676399999999999
-1.0,26.05,-2.9041
1.71,26.87,1.9308
-0.59,27.49,0.10299000000000001
0.85,27.4,0.36687
1.22,27.42,0.53457
0.12,27.18,-0.0082585
-1.09,27.17,-0.82629
-1.12,27.24,-0.023385
1.55,27.53,1.4246
2.29,27.71,0.9257200000000001
0.99,27.72,0.059767999999999995
-1.15,27.68,-1.1476
-0.73,27.88,-1.4732
0.14,28.27,-1.7465
2.0,28.39,0.38697
0.98,28.56,0.32524000000000003
-1.82,28.65,-0.71027
0.52,28.59,-0.46626999999999996
-0.83,28.42,-0.8357
-1.22,28.36,0.28653
0.14,27.96,-0.080009
0.18,27.77,-0.53584
0.32,27.54,-0.53391
1.02,27.45,0.26466
0.76,27.03,-1.0662
-0.17,27.38,-0.19707
-1.17,27.38,-0.56071
0.63,26.68,-0.84614
0.88,25.99,0.060528
-0.35,25.56,-0.14337
0.04,25.66,0.25456999999999996
-0.99,25.72,1.0393
-1.08,24.82,0.032359
-0.34,24.65,-0.034655
0.61,24.63,1.6788
1.17,24.58,3.106
2.0,25.28,3.2793
1.85,26.08,1.5303
0.28,26.74,-0.25024
1.38,27.06,0.8888299999999999
-0.27,27.14,0.34498
0.97,26.72,0.86555
0.01,26.33,0.5509
2.05,26.42,0.70313
-0.03,26.32,0.99069
0.16,26.25,0.033782
-1.15,26.46,-0.64365
1.04,26.56,1.0007
1.41,26.96,3.4016
1.46,27.33,2.99
2.0,27.9,1.8788
-1.53,28.02,0.9428200000000001
-0.02,27.64,0.3043
0.53,27.38,-0.29581
0.97,27.07,-0.18024
1.06,26.94,-0.2104
0.23,26.93,0.6603399999999999
-0.24,26.81,0.52064
0.22,26.95,1.2767
0.86,27.03,0.72323
1.04,27.07,-0.8759899999999999
-0.2,27.32,-0.5268
0.29,28.01,0.5302100000000001
0.08,28.2,0.48649
-0.82,28.25,-0.11535999999999999
-0.49,28.05,-0.18797
1.23,27.53,0.79688
0.48,27.14,-0.11220999999999999
-0.19,27.58,-0.25195
0.48,27.9,0.28465
0.46,28.29,1.6132
-0.13,28.38,0.55003
1.07,28.53,1.1217
0.87,28.66,0.9842299999999999
1.86,29.02,-0.52053
2.63,28.98,1.3414
0.2,28.3,-0.30196
0.16,27.51,0.19113
0.85,26.91,0.5353399999999999
-0.44,26.65,-0.6403
-1.76,26.42,-0.36589
1.19,26.42,0.71699
0.47,26.44,1.6267
1.6,26.69,3.4953
0.5,27.16,0.1845
0.67,27.67,0.76435
0.97,28.41,-0.43545
-0.78,28.71,-1.6075
-0.59,28.08,-0.51951
-3.18,27.52,-0.5107
0.12,26.99,-0.39299
-0.57,27.07,-0.36063
-0.71,26.77,-0.56501
2.56,26.71,1.0018
1.56,26.76,-0.10412
1.04,26.64,-0.28785
0.46,26.81,-0.86154
1.26,27.39,1.881
1.14,28.08,0.22474
-0.57,28.24,-0.11545
1.52,28.04,1.6063
1.31,27.54,0.35074
0.38,27.38,0.8275299999999999
-1.32,27.2,-0.08405499999999999
-0.97,27.47,0.17403
0.64,27.81,1.7794
2.02,27.85,0.8938299999999999
0.93,27.57,-0.15377000000000002
1.14,27.49,1.4289
1.25,27.75,0.39323
-0.85,28.1,-0.9631299999999999
-1.49,27.82,-0.8912
0.13,27.59,-0.11182
-0.22,27.08,-0.21708000000000002
0.69,26.23,0.54359
0.31,25.88,-0.54903
0.19,25.84,0.075041
-1.38,25.6,-0.72327
-1.67,25.65,-2.1271
-0.12,25.69,-1.2004
-0.07,25.89,0.16321
-0.24,26.67,-1.4832
-0.17,27.35,-1.5251
-1.06,27.55,-0.22641999999999998
0.56,27.29,0.49673
0.67,26.85,0.7145699999999999
1.02,26.64,0.12470999999999999
-0.86,26.27,-1.14
-0.33,26.27,0.18253
-0.56,26.29,0.13637
-1.41,25.95,-1.7208
